City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Kumul,42.8,93.45,42.8,299.92,35,77,CN,1595522664
Flinders,-34.58,150.86,-34.58,283.71,86,89,AU,1595522665
Geraldton,-28.77,114.6,-28.77,281.15,87,0,AU,1595522666
Kidal,18.44,1.41,18.44,312.54,18,40,ML,1595522667
Vila Franca do Campo,37.72,-25.43,37.72,295.15,64,40,PT,1595522567
Djibouti,11.5,42.5,11.5,306.15,59,20,DJ,1595522669
Port Alfred,-33.59,26.89,-33.59,290.79,53,0,ZA,1595522670
Rikitea,-23.12,-134.97,-23.12,292.46,66,3,PF,1595522529
Khatanga,71.97,102.5,71.97,278.93,85,100,RU,1595522541
Upernavik,72.79,-56.15,72.79,281.05,73,78,GL,1595522674
Kavieng,-2.57,150.8,-2.57,301.22,77,45,PG,1595522675
Bila Krynytsya,50.64,29.47,50.64,295.93,40,91,UA,1595522676
Ketchikan,55.34,-131.65,55.34,286.15,93,90,US,1595522505
East London,-33.02,27.91,-33.02,292.6,55,0,ZA,1595522678
Thinadhoo,0.53,72.93,0.53,301.74,72,100,MV,1595522679
Kawhia,-38.07,174.82,-38.07,284.26,80,35,NZ,1595522681
Talnakh,69.49,88.4,69.49,283.15,71,85,RU,1595522682
Vaini,-21.2,-175.2,-21.2,293.15,100,75,TO,1595522683
Shache,38.42,77.24,38.42,298.68,19,79,CN,1595522684
Saint-Philippe,-21.36,55.77,-21.36,293.15,56,75,RE,1595522685
Ahipara,-35.17,173.17,-35.17,286.27,74,83,NZ,1595522582
Broken Hill,-31.95,141.43,-31.95,279.15,75,0,AU,1595522687
Anori,-3.77,-61.64,-3.77,308.33,41,47,BR,1595522688
Bambous Virieux,-20.34,57.76,-20.34,293.15,52,75,MU,1595522587
Albany,42.6,-73.97,42.6,300.93,85,62,US,1595522404
Nikolskoye,59.7,30.79,59.7,288.71,54,40,RU,1595522531
Hobart,-42.88,147.33,-42.88,278.15,80,97,AU,1595522418
Butaritari,3.07,172.79,3.07,301.19,77,2,KI,1595522694
São Félix do Xingu,-6.64,-51.99,-6.64,307.85,31,25,BR,1595522695
Praia da Vitória,38.73,-27.07,38.73,298.15,61,20,PT,1595522696
Provideniya,64.38,-173.3,64.38,283.12,66,44,RU,1595522602
Puerto Ayora,-0.74,-90.35,-0.74,297.15,73,20,EC,1595522699
Kununurra,-15.77,128.73,-15.77,287.15,35,0,AU,1595522700
Jiujiang,29.73,115.98,29.73,300.2,87,89,CN,1595522701
Chittarkonda,18.12,82.08,18.12,295.84,90,100,IN,1595522702
Avarua,-21.21,-159.78,-21.21,296.15,100,2,CK,1595522703
Kruisfontein,-34.0,24.73,-34.0,286.7,72,0,ZA,1595522705
Rāmānuj Ganj,23.8,83.7,23.8,298.82,78,100,IN,1595522706
Taltal,-25.4,-70.48,-25.4,288.09,50,0,CL,1595522707
Jalu,29.03,21.55,29.03,307.24,19,0,LY,1595522708
San Ignacio,17.16,-89.07,17.16,305.37,78,40,BZ,1595522709
Ushuaia,-54.8,-68.3,-54.8,277.15,60,90,AR,1595522550
Hobyo,5.35,48.53,5.35,298.74,70,83,SO,1595522711
Namatanai,-3.67,152.43,-3.67,299.57,82,45,PG,1595522583
Bud,39.45,-86.18,39.45,300.93,74,75,US,1595522714
Kaeo,-35.1,173.78,-35.1,282.59,3,82,NZ,1595522525
Praia,14.92,-23.51,14.92,303.15,66,40,CV,1595522716
Srednekolymsk,67.45,153.68,67.45,292.95,49,100,RU,1595522717
Chumikan,54.72,135.31,54.72,281.72,94,18,RU,1595522718
Matara,5.95,80.54,5.95,299.08,86,98,LK,1595522719
Olinda,-8.01,-34.86,-8.01,302.15,58,40,BR,1595522720
Mossamedes,-15.2,12.15,-15.2,295.44,62,0,AO,1595522582
Plettenberg Bay,-34.05,23.37,-34.05,290.99,59,0,ZA,1595522723
Udachny,66.42,112.4,66.42,285.15,81,90,RU,1595522724
Punta Arenas,-53.15,-70.92,-53.15,276.15,76,75,CL,1595522528
Qaanaaq,77.48,-69.36,77.48,282.62,51,0,GL,1595522522
Duminichi,53.93,35.11,53.93,287.1,77,27,RU,1595522727
Alofi,-19.06,-169.92,-19.06,296.15,100,73,NU,1595522539
Saint Paul Harbor,57.79,-152.41,57.79,286.15,71,1,US,1595522530
Hamilton,39.18,-84.53,39.18,300.93,88,90,US,1595522520
Arraial do Cabo,-22.97,-42.03,-22.97,301.15,58,50,BR,1595522732
Bethel,41.37,-73.41,41.37,302.04,78,1,US,1595522733
Tasiilaq,65.61,-37.64,65.61,279.15,81,75,GL,1595522734
Atuona,-9.8,-139.03,-9.8,298.88,74,6,PF,1595522525
Guerrero Negro,27.98,-114.06,27.98,294.4,66,91,MX,1595522578
Severo-Kuril'sk,50.68,156.12,50.68,283.04,91,99,RU,1595522612
Ossora,59.24,163.07,59.24,283.59,83,0,RU,1595522739
Thompson,55.74,-97.86,55.74,294.15,77,75,CA,1595522740
Jajce,44.34,17.27,44.34,297.15,69,20,BA,1595522741
Cidreira,-30.18,-50.21,-30.18,294.84,70,99,BR,1595522743
Tsaratanana,-16.78,47.65,-16.78,290.82,57,9,MG,1595522744
Constantine,36.37,6.61,36.37,307.15,26,20,DZ,1595522745
Kapaa,22.08,-159.32,22.08,298.15,83,75,US,1595522555
Mataura,-46.19,168.86,-46.19,277.04,83,92,NZ,1595522562
George Town,5.41,100.34,5.41,300.15,88,20,MY,1595522430
Chhāpar,27.82,74.4,27.82,307.69,45,88,IN,1595522749
Krasnyy Yar,46.53,48.35,46.53,304.15,23,56,RU,1595522751
Busselton,-33.65,115.33,-33.65,281.48,71,5,AU,1595522465
Mataram,-8.58,116.12,-8.58,296.15,88,75,ID,1595522720
Portland,45.52,-122.68,45.52,290.93,67,90,US,1595522642
Terme,41.21,36.97,41.21,299.15,65,40,TR,1595522756
Castro,-24.79,-50.01,-24.79,296.78,45,24,BR,1595522586
Barrow,71.29,-156.79,71.29,281.15,87,90,US,1595522533
Tiksi,71.69,128.87,71.69,287.73,81,87,RU,1595522550
Akdepe,42.06,59.38,42.06,302.15,45,33,TM,1595522760
Ndjolé,-0.18,10.76,-0.18,299.78,69,92,GA,1595522761
Yar-Sale,66.83,70.83,66.83,283.7,70,40,RU,1595522762
