City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Bredasdorp,-34.53,20.04,57.2,71,0,9.17,ZA,1595866549
Albany,42.6,-73.97,91.0,39,86,1.99,US,1595866252
Avarua,-21.21,-159.78,69.8,88,57,5.82,CK,1595866552
Hithadhoo,-0.6,73.08,82.94,74,100,11.25,MV,1595866553
Batemans Bay,-35.72,150.18,55.0,100,100,7.0,AU,1595866554
New Norfolk,-42.78,147.06,42.01,90,94,2.21,AU,1595866346
Rikitea,-23.12,-134.97,71.13,74,100,15.5,PF,1595866556
Souillac,-20.52,57.52,69.8,83,75,3.36,MU,1595866557
Punta Arenas,-53.15,-70.92,41.0,74,40,16.11,CL,1595866558
Kaitangata,-46.28,169.85,43.0,70,77,1.01,NZ,1595866352
Rawson,-43.3,-65.1,44.87,56,7,21.18,AR,1595866561
Atuona,-9.8,-139.03,79.29,72,3,25.43,PF,1595866325
Bethel,41.37,-73.41,89.01,52,1,5.82,US,1595866354
Mahébourg,-20.41,57.7,69.8,83,75,3.36,MU,1595866564
Airai,-8.93,125.41,53.24,85,88,2.59,TL,1595866565
Ahipara,-35.17,173.17,51.49,82,86,7.56,NZ,1595866566
Celendín,-6.87,-78.15,66.2,48,6,2.24,PE,1595866568
Ushuaia,-54.8,-68.3,32.0,89,90,28.86,AR,1595866569
Bereda,43.27,-7.54,86.0,50,0,13.0,ES,1595866344
Busselton,-33.65,115.33,54.0,98,26,8.37,AU,1595866571
Saint Paul Harbor,57.79,-152.41,55.4,76,90,4.7,US,1595866330
Mokhsogollokh,61.47,128.92,62.42,99,100,2.73,RU,1595866325
Ust'-Ordynskiy,52.8,104.75,60.8,100,20,2.24,RU,1595866580
Fare,-16.7,-151.02,78.84,81,99,13.71,PF,1595866583
Bengkulu,-3.8,102.27,76.51,83,50,8.86,ID,1595866584
Pangnirtung,66.15,-65.71,51.8,81,75,2.24,CA,1595866589
Vendôme,47.8,1.07,89.6,22,0,20.8,FR,1595866590
Orán,-23.13,-64.33,82.51,15,0,3.44,AR,1595866529
Bilma,18.69,12.92,104.81,20,51,15.08,NE,1595866593
Kurāra,25.98,79.98,95.58,44,37,4.83,IN,1595866594
Tabas,33.6,56.92,104.0,11,1,4.7,IR,1595866374
Ginir,7.13,40.7,62.46,88,84,8.32,ET,1595866596
Vardø,70.37,31.11,59.0,77,17,17.22,NO,1595866598
Cape Town,-33.93,18.42,63.0,67,0,8.05,ZA,1595866443
Vaini,-21.2,-175.2,69.8,77,75,10.29,TO,1595866600
Hermanus,-34.42,19.23,57.0,77,0,1.99,ZA,1595866601
Hilo,19.73,-155.09,75.2,88,90,3.36,US,1595866602
Kapaa,22.08,-159.32,78.8,88,90,5.82,US,1595866338
Bambous Virieux,-20.34,57.76,70.0,83,75,3.36,MU,1595866605
Castro,-24.79,-50.01,73.06,49,100,9.31,BR,1595866606
Norman Wells,65.28,-126.83,59.0,77,20,5.08,CA,1595866383
Mataura,-46.19,168.86,39.0,83,95,3.0,NZ,1595866318
Saint-Philippe,-21.36,55.77,71.6,73,100,3.36,RE,1595866335
Vila Velha,-20.33,-40.29,78.8,61,75,11.41,BR,1595866553
Praia,14.92,-23.51,84.2,54,40,21.92,CV,1595866505
Hualmay,-11.1,-77.61,67.01,61,83,11.1,PE,1595866613
Adrar,20.5,-10.07,104.94,17,16,4.52,MR,1595866618
Saldanha,-33.01,17.94,62.6,48,0,6.93,ZA,1595866619
Zyryanka,65.75,150.85,60.85,81,67,2.95,RU,1595866385
Longyearbyen,78.22,15.64,69.8,43,0,5.82,SJ,1595866541
Uyuni,-20.46,-66.83,46.09,32,0,11.86,BO,1595866622
Yangi Marg`ilon,40.43,71.72,84.2,42,18,4.7,UZ,1595866624
Cidreira,-30.18,-50.21,66.87,78,96,2.06,BR,1595866625
Bowen,-20.02,148.23,59.0,93,0,2.24,AU,1595866626
Narsaq,60.92,-46.05,53.6,66,75,4.7,GL,1595866627
Saskylakh,71.92,114.08,40.82,83,100,7.36,RU,1595866338
Sosnogorsk,63.6,53.88,71.13,55,69,4.05,RU,1595866629
Touros,-5.2,-35.46,78.8,83,75,13.87,BR,1595866630
San Patricio,19.22,-104.7,86.0,74,75,4.76,MX,1595866632
Chui,-33.7,-53.46,57.4,71,0,7.14,UY,1595866334
Båtsfjord,70.63,29.72,69.8,49,40,13.87,NO,1595866634
El Campo,29.2,-96.27,84.99,78,90,5.82,US,1595866635
Cortez,37.35,-108.59,73.4,56,1,3.36,US,1595866636
Whitehorse,60.72,-135.05,50.0,66,75,8.05,CA,1595866528
Uruaçu,-14.52,-49.14,88.52,28,0,6.98,BR,1595866527
Grindavik,63.84,-22.43,50.0,71,20,21.92,IS,1595866640
Saint George,37.1,-113.58,88.0,23,1,2.37,US,1595866477
Constitución,-35.33,-72.42,54.73,58,15,11.88,CL,1595866642
Paamiut,61.99,-49.67,46.22,89,67,5.5,GL,1595866643
Sobolevo,54.43,31.9,69.21,87,94,5.06,RU,1595866644
Jamestown,42.1,-79.24,82.99,78,90,18.34,US,1595866645
Richards Bay,-28.78,32.04,62.15,74,97,4.16,ZA,1595866647
Yellowknife,62.46,-114.35,66.2,68,75,5.82,CA,1595866648
Roald,62.58,6.13,64.99,77,75,14.99,NO,1595866649
Vilyuysk,63.76,121.62,50.9,69,100,8.21,RU,1595866650
Hobart,-42.88,147.33,45.0,93,90,5.82,AU,1595866651
Nikolskoye,59.7,30.79,75.2,44,44,11.18,RU,1595866652
Seoni Mālwa,22.45,77.47,84.45,68,76,4.68,IN,1595866653
Arraial do Cabo,-22.97,-42.03,80.6,61,20,19.46,BR,1595866655
Hong Kong,22.29,114.16,86.0,74,57,5.99,HK,1595866426
Madison Heights,42.49,-83.11,87.01,66,40,11.41,US,1595866458
Tuktoyaktuk,69.45,-133.04,60.8,82,20,5.82,CA,1595866659
Nanma,36.18,118.16,75.99,86,4,3.04,CN,1595866660
Jiangyou,31.77,104.72,76.77,86,29,1.63,CN,1595866661
Tasiilaq,65.61,-37.64,46.4,75,75,9.17,GL,1595866662
Kadom,54.56,42.47,69.35,77,62,1.88,RU,1595866664
Severo-Kuril'sk,50.68,156.12,51.31,91,53,17.11,RU,1595866665
Canora,51.63,-102.43,69.8,64,1,10.29,CA,1595866666
Arman',59.7,150.17,53.08,86,0,0.36,RU,1595866667
Sherlovaya Gora,50.57,116.25,63.45,89,34,13.47,RU,1595866669
Tingi,-11.3,35.03,56.48,85,22,2.35,TZ,1595866670
Kamenka,51.32,42.77,79.0,38,93,3.0,RU,1595866671
Muriwai Beach,-36.82,174.45,50.0,94,67,1.01,NZ,1595866672
